	CRC_Effect	CRC_Pvalue	CRC_SE	T2D_Effect	T2D_Pvalue	T2D_SE	CD_Effect	CD_Pvalue	CD_SE	UC_Effect	UC_Pvalue	UC_SE	ACVD_Effect	ACVD_Pvalue	ACVD_SE	cirrhosis_Effect	cirrhosis_Pvalue	cirrhosis_SE	schizofrenia_Effect	schizofrenia_Pvalue	schizofrenia_SE	asthma_Effect	asthma_Pvalue	asthma_SE	STH_Effect	STH_Pvalue	RE_Qvalue	STH_SE	BD_Effect	BD_Pvalue	BD_SE	ME/CFS_Effect	ME/CFS_Pvalue	ME/CFS_SE	migraine_Effect	migraine_Pvalue	migraine_SE	RE_Effect	RE_Pvalue	RE_stdErr	RE_conf_int	RE_Var	Zscore	Tau2_DL	Tau2_PM	I2	CRC_Qvalue	CRC_SE_RE	T2D_Qvalue	T2D_SE_RE	CD_Qvalue	CD_SE_RE	UC_Qvalue	UC_SE_RE	ACVD_Qvalue	ACVD_SE_RE	cirrhosis_Qvalue	cirrhosis_SE_RE	schizofrenia_Qvalue	schizofrenia_SE_RE	asthma_Qvalue	asthma_SE_RE	STH_Qvalue	STH_SE_RE	BD_Qvalue	BD_SE_RE	ME/CFS_Qvalue	ME/CFS_SE_RE	migraine_Qvalue	migraine_SE_RE
PWY-5913: TCA-PWY cycle VI (obligate autotrophs)	NA	NA	NA	0.16373128905462184	0.07644278648377956	0.09241429594219903	0.3255697438290031	0.2362583879019153	0.2748837083075927	0.30616691847727884	0.3155911847378077	0.3050811092379224	0.5624265675515225	1.6201330938864245e-06	0.1171477883680248	0.7909870835165755	5.5340437132167224e-09	0.1354737286010975	0.3031863501819473	0.05074621988091818	0.15473288025415466	0.5093070287444724	0.02331145331033458	0.14442338247065878	0.5003340819162706	0.00207384886401648	0.0003412589366632949	0.16210203042144994	0.23235696373183384	0.3980974372529252	0.252887872383724	0.2873557454787776	0.1582032033925959	0.2030914119410306	-0.12171598761822627	0.4536510239092378	0.13375694943952712	0.35782967903264984	4.886762816180834e-06	0.07830671425179227	0.204348519099137;0.5113108389661627	0.006131941496911846	4.5695912853917235	0.0535433938645821	0.038353129625206324	0.6959415648765596	NA	NA	0.9979133102574148	0.09241429594219903	0.5767750996721486	0.2748837083075927	0.6147608998806093	0.3050811092379224	5.82970967971098e-06	0.1171477883680248	2.2800260098452902e-08	0.1354737286010975	0.4040548073537259	0.15473288025415466	0.2908931183930494	0.14442338247065878	0.0445294198221513	0.16210203042144994	0.9891790865546536	0.252887872383724	0.8393558846662726	0.2030914119410306	0.979102105920751	0.13375694943952712
PWY-7199: pyrimidine deoxyribonucleosides salvage	-0.2064341102143377	0.017784071983640404	0.08709993413505779	-0.054456403291497986	0.5548549939532141	0.0922207207803646	-0.4953944097379628	0.08435661501780145	0.28702728319706994	-0.3370548413290145	0.0019721352445578604	0.10892424663039316	-0.7907153685130027	3.5083582576413446e-11	0.11930365945865135	-0.9643647396488204	2.7282595839400858e-12	0.1378429679834333	-0.2314801239078434	0.13487034226389855	0.1543658886927273	-0.5507030660389972	0.01428784394851915	0.14480651801251454	-0.005779882504641301	0.971175684101472	0.0014898895884035274	0.15962414519504656	-0.17757821926829687	0.5178747799133849	0.25253508159441684	-0.23000941784356785	0.2577794476512896	0.20271832177778326	-0.18848130171182625	0.2463127283499409	0.13392965307489055	-0.3535156323745372	4.622569128698295e-05	0.08677501356983261	-0.5235946589714091;-0.1834366057776653	0.007529902980044635	-4.073933472681555	0.0733153107547672	0.0663516340064812	0.8033873001851707	0.03901022241572734	0.08709993413505779	0.9979133102574148	0.0922207207803646	0.4847157878800655	0.28702728319706994	0.025426457974478126	0.10892424663039316	5.908075305868026e-10	0.11930365945865135	3.7468098286110524e-11	0.1378429679834333	0.5369366456166528	0.1543658886927273	0.2617273232387826	0.14480651801251454	0.9854915742864035	0.15962414519504656	0.9891790865546536	0.25253508159441684	0.903410541310024	0.20271832177778326	0.979102105920751	0.13392965307489055
PWY-6609: adenine and adenosine salvage III	-0.2534438906857803	0.00026558020463807175	0.06949860379441952	-0.003361353974523881	0.9793584580454024	0.12991632341758744	-0.4687668078961624	0.3374929959939965	0.4887414143751503	-0.17836223429919024	0.09990695182073006	0.10840679762393436	-0.6873771699804239	6.322013781433206e-09	0.11824257202412007	-1.0057232818552082	3.8826781642744317e-13	0.1384704001213693	-0.17384027954949802	0.2607908701894781	0.15414182640285273	-0.5027686997461851	0.025120400726309246	0.14436551611338272	-0.1040585294866686	0.5156352718921038	0.001655075695176339	0.15973180256697905	-0.3975056062677581	0.15063814520854127	0.2545157142303555	-0.29513733475744164	0.14735474274591712	0.2031483509769647	-0.13584238300961576	0.4030533941399834	0.13378730586398904	-0.34173978717940334	6.31458688438169e-05	0.08541923714135788	-0.5091614919764648;-0.1743180823823419	0.007296446073811533	-4.000735649440042	0.06326154667841287	0.06090819189581152	0.7762262811266111	0.0015934812278284305	0.06949860379441952	0.9979133102574148	0.12991632341758744	0.5767750996721486	0.4887414143751503	0.33768559320433833	0.10840679762393436	5.431771024455878e-08	0.11824257202412007	1.1387652389946073e-11	0.1384704001213693	0.7009792816557946	0.15414182640285273	0.2908931183930494	0.14436551611338272	0.8163504158394529	0.15973180256697905	0.9891790865546536	0.2545157142303555	0.8277869371902992	0.2031483509769647	0.979102105920751	0.13378730586398904
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	0.2465647206140127	5.6357888624791734e-05	0.06121932793733707	0.0006776911825478805	0.9966467364833728	0.16125119219144673	0.5705189040113311	0.14573584348875968	0.3921740254664807	0.3321406969496417	0.00230189170320072	0.10896161286877047	0.5715964436086006	1.1103227390789452e-06	0.11722100712479636	0.680251811585837	4.175006203141369e-07	0.13418824283262548	0.07101019432260466	0.6454582809245122	0.15389998814521316	0.5656305285455538	0.011893173380748088	0.14495175291618115	0.2238959615299625	0.16293767005224655	0.00018758431631756461	0.1601231462884889	-0.07850252554131851	0.7746743963655847	0.2521358906758007	0.6401323878138783	0.002061617175505716	0.2071613716727745	0.2806232571974553	0.08489959218640729	0.1342893831108275	0.3413121528745512	1.3430857970231358e-06	0.07061723602866365	0.20290237025837043;0.47972193549073194	0.004986794024327993	4.833269780426014	0.028159383291089895	0.03524562692646764	0.6123421210400964	0.0005895902194593597	0.06121932793733707	0.9979133102574148	0.16125119219144673	0.5546185418519491	0.3921740254664807	0.026805900156627743	0.10896161286877047	4.173623867430678e-06	0.11722100712479636	1.2199308905632936e-06	0.13418824283262548	0.8941207415255574	0.15389998814521316	0.23964744362207396	0.14495175291618115	0.5785674009979861	0.1601231462884889	0.9891790865546536	0.2521358906758007	0.06575244851863815	0.2071613716727745	0.8851862182291947	0.1342893831108275
PWY-6151: S-adenosyl-L-methionine cycle I	-0.34664755486480464	3.626170745896218e-07	0.06813572940424872	0.00916847801619042	0.9568928518184484	0.16961981132156048	-0.5748981261484336	0.202029298964145	0.4506208186023574	-0.1181030129816386	0.2753520652975163	0.10826993075429818	-0.639555589501439	5.833112491243888e-08	0.11779894166780805	-0.90500191864821	4.114276289782544e-11	0.13698382041644871	-0.19568531702022893	0.20580461576683776	0.1542192817235971	-0.5153705194291855	0.02173678604838708	0.14447769345008915	-0.020004430756082263	0.9004778717002972	0.0010267456355449456	0.15962780422413864	-0.3190340463617303	0.2472119306754208	0.2536370901126204	-0.3802580330332875	0.06287225462789456	0.20386914908415227	-0.170441374480532	0.2943259972980811	0.13387568267036434	-0.33977295460530715	2.3578985293593036e-05	0.08036279085568507	-0.4972840246824499;-0.18226188452816441	0.00645817815411458	-4.227988488048767	0.049867434096534206	0.05083021020534426	0.7263016241723094	1.5963515551575826e-05	0.06813572940424872	0.9979133102574148	0.16961981132156048	0.5767750996721486	0.4506208186023574	0.5922636839943617	0.10826993075429818	3.5590439982806907e-07	0.11779894166780805	3.139040428500756e-10	0.13698382041644871	0.6290485485838192	0.1542192817235971	0.2908931183930494	0.14447769345008915	0.9693725235083422	0.15962780422413864	0.9891790865546536	0.2536370901126204	0.5337155837301272	0.20386914908415227	0.979102105920751	0.13387568267036434
P161-PWY: acetylene degradation	0.23070353909691504	4.0022795819050216e-05	0.05616849072196431	0.019199351898780238	0.8926012917357902	0.14220332254717238	0.7684993366417242	0.13147739922566393	0.5095131019358434	0.35506719593809033	0.0011301998470316654	0.1090523291465276	0.6120657224358551	1.9804186696894763e-07	0.11755769799036582	0.6953910798122526	2.3760933573252248e-07	0.13435325538738466	0.033658331204584564	0.827328301095502	0.15386240212327182	0.5657375986832949	0.01187737781565573	0.14495280813884867	0.15869054330215054	0.3219370657124874	0.000396434418591702	0.15987484930563492	-0.035473846098511515	0.8970456264476188	0.2520586547006173	0.6379138192091578	0.002133100641231905	0.2071264455222799	0.2710149714609209	0.09604805255377344	0.1342453236618591	0.3397594827967295	6.623009379813638e-06	0.07541065090159915	0.1919546070295952;0.4875643585638638	0.005686766269402858	4.5054575014883556	0.03503838659321556	0.042914861334188516	0.673309097545473	0.00044133245119385106	0.05616849072196431	0.9979133102574148	0.14220332254717238	0.5546185418519491	0.5095131019358434	0.017739223686018747	0.1090523291465276	9.324291422434755e-07	0.11755769799036582	7.145623819109434e-07	0.13435325538738466	0.9317085338629344	0.15386240212327182	0.23964744362207396	0.14495280813884867	0.7470857829979555	0.15987484930563492	0.9891790865546536	0.2520586547006173	0.06575244851863815	0.2071264455222799	0.8956540265643488	0.1342453236618591
PWY-6168: flavin biosynthesis III (fungi)	-0.18873858806695493	0.00077108066395426	0.05612255004895028	0.011007835842556284	0.9310479297737342	0.12721931466479627	-0.4013752688080355	0.2892239315758576	0.3787182108833898	-0.2000280185050983	0.06506287822133182	0.10842650556853486	-0.8294423679443832	4.401177184769136e-12	0.11973680766955633	-0.912387572438904	2.9522846570740735e-11	0.13708802584326968	-0.2981114500744975	0.054695680497126135	0.1547037020209403	-0.4049181473122192	0.07064590837391141	0.143586572627157	-0.23819234289148075	0.13788063214117627	0.0014898895884035274	0.16018883387230748	-0.23740256493860026	0.3879953026309944	0.2529250809987588	-0.2755209566034861	0.17586612052849004	0.20300770235187568	-0.10603710283477956	0.5138107809996109	0.13372714913524295	-0.33885801941457805	4.549952550991776e-05	0.08310196193537663	-0.5017378648079163;-0.17597817402123986	0.006905936077508786	-4.077617561882444	0.06375998075944242	0.05773453202561887	0.7931903678633022	0.003495565676592645	0.05612255004895028	0.9979133102574148	0.12721931466479627	0.5767750996721486	0.3787182108833898	0.26390673076293025	0.10842650556853486	9.264477973939031e-11	0.11973680766955633	2.384982899440232e-10	0.13708802584326968	0.41202127662645704	0.1547037020209403	0.30779728672093937	0.143586572627157	0.5362959631604112	0.16018883387230748	0.9891790865546536	0.2529250809987588	0.8960592233996099	0.20300770235187568	0.979102105920751	0.13372714913524295
PWY-6700: queuosine biosynthesis	-0.2676583837872633	0.00036185525246668066	0.07504904869240021	-0.07371212681266318	0.4244506746315819	0.09228739816051576	-0.5185322916081009	0.3572741216646578	0.5632720767553858	-0.2287082942526832	0.035177844624390005	0.10858269145179164	-0.7508113104244241	2.7717080744646225e-10	0.11887747505212375	-0.9701397852795504	2.0839229509984498e-12	0.13792916507168515	-0.20725333196632684	0.1803809377141634	0.154263989151361	-0.5090167887322484	0.023389268874971603	0.14442079838788102	0.027963768132024502	0.8612279693355483	0.0032795190351854234	0.15963161305754506	-0.30348698112028666	0.2707433255908139	0.2534855476358058	-0.2544557865979297	0.21093835979752815	0.2028673360356599	-0.0536897427082858	0.740864052872905	0.13365734587613665	-0.33186317409674665	0.00016857608987175254	0.08821511783007417	-0.504764805043692;-0.15896154314980127	0.007781907013773871	-3.761976203852083	0.06890014513147648	0.06673418806613571	0.7992900655946416	0.001845461787580072	0.07504904869240021	0.9979133102574148	0.09228739816051576	0.5767750996721486	0.5632720767553858	0.1949552001488202	0.10858269145179164	4.167461069105736e-09	0.11887747505212375	3.179912058560598e-11	0.13792916507168515	0.5941150305435602	0.154263989151361	0.2908931183930494	0.14442079838788102	0.9424294635871856	0.15963161305754506	0.9891790865546536	0.2534855476358058	0.8960592233996099	0.2028673360356599	0.979102105920751	0.13365734587613665
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	-0.22050519461163412	0.005043959990096214	0.07863354499894848	0.02643010560183918	0.8725472992077847	0.16475184739647605	-0.3701420111359392	0.4227014494188533	0.4616714604498717	-0.160038423250817	0.13981030788432647	0.1083905605901174	-0.9048400879976924	6.420519571310398e-14	0.12063450969743605	-0.8867141504893543	9.290815100380551e-11	0.1367291066657523	-0.1614859966643019	0.29607752998010245	0.1541020611097473	-0.4535996672394901	0.04307995671636986	0.14395363656143553	-0.05772573061334262	0.7182454626182015	0.003912051958818837	0.15965705270179426	-0.3895668884225249	0.1588167517084647	0.25441822680082904	-0.24755941445245497	0.22347019028231013	0.202823787303461	-0.07076643112321024	0.662941418369821	0.1336750921696687	-0.3257876058961807	0.00038147751980432965	0.09170458977071752	-0.505528601846787;-0.1460466099455744	0.00840973178501559	-3.552576885308842	0.08332324441244658	0.07260692098210879	0.8076125489448417	0.014291219971939271	0.07863354499894848	0.9979133102574148	0.16475184739647605	0.6048139315795449	0.4616714604498717	0.39741355233261294	0.1083905605901174	3.003376377246308e-12	0.12063450969743605	5.88894741747198e-10	0.1367291066657523	0.730670863459668	0.1541020611097473	0.2908931183930494	0.14395363656143553	0.9028612429706998	0.15965705270179426	0.9891790865546536	0.25441822680082904	0.8960592233996099	0.202823787303461	0.979102105920751	0.1336750921696687
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	-0.23862873758886705	0.0011231683102059797	0.07325055147464282	0.00222252949745376	0.985711152327274	0.12409868308365846	-0.4478203674850503	0.14389408531945946	0.3064235596408966	-0.1940146360856715	0.07363294337104076	0.10845547387561644	-0.8813149732191745	2.463000659257495e-13	0.12034676693119925	-0.9155817349057424	2.556227382399385e-11	0.1371333304568956	-0.16795080140453844	0.2772290413564023	0.15412250548310186	-0.3953550456153852	0.07749710771607646	0.1435192560704943	-0.07470705617979209	0.6405883529454124	0.0037952167082557346	0.15967948242252278	-0.2772984906210891	0.31385293423219895	0.25324721025500224	-0.15163260294617664	0.4547826510213937	0.20234148080586095	-0.10261601697360392	0.5274719899602011	0.1337211913043822	-0.3205369268503035	0.0003260806718310416	0.08919542314325761	-0.4953599562110884;-0.14571389748951857	0.007955823509704776	-3.593647695751004	0.07631110594941401	0.07053766104254697	0.8072253995056135	0.004406275678500382	0.07325055147464282	0.9979133102574148	0.12409868308365846	0.5546185418519491	0.3064235596408966	0.2827818357121885	0.10845547387561644	8.641027312895043e-12	0.12034676693119925	2.240778045847972e-10	0.1371333304568956	0.7177340825300722	0.15412250548310186	0.30779728672093937	0.1435192560704943	0.8844210018763791	0.15967948242252278	0.9891790865546536	0.25324721025500224	0.9464041765834222	0.20234148080586095	0.979102105920751	0.1337211913043822
