	CRC_Effect	CRC_Pvalue	CRC_SE	T2D_Effect	T2D_Pvalue	T2D_SE	UC_Effect	UC_Pvalue	UC_SE	ACVD_Effect	ACVD_Pvalue	ACVD_SE	asthma_Effect	asthma_Pvalue	asthma_SE	migraine_Effect	migraine_Pvalue	migraine_SE	RE_Effect	RE_Pvalue	RE_stdErr	RE_conf_int	RE_Var	Zscore	Tau2_DL	Tau2_PM	RE_Qvalue	I2	CRC_Qvalue	CRC_SE_RE	T2D_Qvalue	T2D_SE_RE	UC_Qvalue	UC_SE_RE	ACVD_Qvalue	ACVD_SE_RE	asthma_Qvalue	asthma_SE_RE	migraine_Qvalue	migraine_SE_RE	CD_Effect	CD_Pvalue	CD_SE	schizofrenia_Effect	schizofrenia_Pvalue	schizofrenia_SE	BD_Effect	BD_Pvalue	BD_SE	ME/CFS_Effect	ME/CFS_Pvalue	ME/CFS_SE	CD_Qvalue	CD_SE_RE	schizofrenia_Qvalue	schizofrenia_SE_RE	BD_Qvalue	BD_SE_RE	ME/CFS_Qvalue	ME/CFS_SE_RE	cirrhosis_Effect	cirrhosis_Pvalue	cirrhosis_SE	STH_Effect	STH_Pvalue	STH_SE	cirrhosis_Qvalue	cirrhosis_SE_RE	STH_Qvalue	STH_SE_RE
s__Streptococcus_anginosus_group	0.15872218225555376	0.12465969385212472	0.1033680287473696	0.4401642646305465	0.00011110197470642903	0.1138855009161788	NA	NA	NA	0.8330077255762046	3.623372642437144e-12	0.11977764494856025	0.2973642232150167	0.1834723839567423	0.14292079516275574	0.19435107800547174	0.23195336529337005	0.13394837852794833	0.5289432667817691	0.00279629482115773	0.1769463068484132	0.1821285053588792;0.8757580282046589	0.0313099955072928	2.989286841883089	0.15401861731994637	0.1717984807708606	0.017457948748309072	0.9090084053056524	0.29971373202744883	0.1033680287473696	0.02299810876423081	0.1138855009161788	NA	NA	4.438631486985501e-10	0.11977764494856025	0.6020692761489903	0.14292079516275574	0.5930625817160029	0.13394837852794833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2679075376119209	6.470872384389732e-19	0.1429769807806283	NA	NA	NA	1.7714013152266895e-17	0.1429769807806283	NA	NA
s__Clostridium_innocuum	0.03668225653434639	0.5123221869787318	0.0559841191599016	0.22416312870944052	0.015375797511612666	0.09249926428502693	0.29571664014013954	0.044952317216272915	0.1474822126409949	0.4706518500166334	5.434456761140395e-05	0.11647810088251187	0.8560005401090454	0.00016461943404766182	0.14850415947313206	0.2132754033515103	0.18975565193828145	0.1340126399595335	0.41127945546402433	2.552380025333534e-06	0.08743371133948839	0.2399093812386271;0.5826495296894216	0.00764465387859698	4.7039002366845075	0.073166646308293	0.05172154170438358	0.00012829207395159692	0.8312208149292567	0.7282063789760591	0.0559841191599016	0.39784876061297775	0.09249926428502693	0.19679125536901693	0.1474822126409949	0.0004931266320294061	0.11647810088251187	0.018601996047385785	0.14850415947313206	0.5627773248905551	0.1340126399595335	0.9367057624448096	0.3152843820782709	0.932792215969924	0.41107415005693904	0.008384883273969523	0.15546790103296318	NA	NA	NA	0.5816597899744532	0.004927818025765293	0.20627957245237846	0.5055421988496414	0.932792215969924	0.1340664629570245	0.15546790103296318	NA	NA	0.03805123090144597	0.20627957245237846	0.7636795396678052	1.676380107513281e-08	0.13513992731168478	NA	NA	NA	1.4685089741816346e-07	0.13513992731168478	NA	NA
s__Lactobacillus_mucosae	NA	NA	NA	0.1336207163278434	0.14774553320164308	0.09230877731029312	NA	NA	NA	0.4227251965245975	0.0002784656673041808	0.11617440355595313	NA	NA	NA	NA	NA	NA	0.39118971190367524	0.005003755162292345	0.13937253732330263	0.1180195387500021;0.6643598850573484	0.019424704159935385	2.806791921971199	0.06423021642121025	0.062065850190710314	0.023117348849790633	0.8141730741719383	NA	NA	0.8086884529117029	0.09230877731029312	NA	NA	0.002006590837927185	0.11617440355595313	NA	NA	NA	NA	NA	NA	NA	0.25774495973325323	0.096218232059425	0.15448898427937205	NA	NA	NA	NA	NA	NA	NA	NA	0.4094868945784832	0.15448898427937205	NA	NA	NA	NA	0.7757127124591529	1.0320479153122946e-08	0.13528567425284382	NA	NA	NA	9.417437227224688e-08	0.13528567425284382	NA	NA
s__Pseudoflavonifractor_sp_An184	0.10657058295983536	0.20478797124336245	0.08404434885304875	NA	NA	NA	0.12604891830578402	0.5298685507117149	0.20064880085678105	NA	NA	NA	0.7259876501461002	0.0013192003131705114	0.1467449077958751	0.42423385261097385	0.00949900670839348	0.13512807232482454	0.38532433294008384	0.0004391027533667824	0.10961058195986222	0.1704875922987539;0.6001610735814138	0.012014479677579673	3.515393550972879	0.05862752992428056	0.0448085316445515	0.005183286821590594	0.7228197462485098	0.4042694091865027	0.08404434885304875	NA	NA	0.8314512830473162	0.20064880085678105	NA	NA	0.03726740884706695	0.1467449077958751	0.16137231288902978	0.13512807232482454	0.6951315363915395	0.0040500995729606535	0.241849397192818	NA	NA	NA	NA	NA	NA	0.3569160664655264	0.08049966863298162	0.2036536779811212	0.030132740822827256	0.241849397192818	NA	NA	NA	NA	0.2253990721723485	0.2036536779811212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
s__Streptococcus_vestibularis	0.037147068103423	0.5069682168387589	0.05598098183017523	0.32665465279001404	0.1676819398767413	0.2367593586819384	NA	NA	NA	0.6919075592940844	5.0904992906209844e-09	0.11828616759210167	0.14007524549945066	0.5302139715696792	0.1423116171227625	-0.03336963732485484	0.8371342408670752	0.13364257242635266	0.37169338755265907	0.008185354110708865	0.1405625665334449	0.09619075714710706;0.647196017958211	0.01975783511046912	2.6443269834875975	0.13946918048665863	0.11552137682744291	0.03260028964782324	0.9014311333137132	0.7251570696554401	0.05598098183017523	0.8086884529117029	0.2367593586819384	NA	NA	2.0786205436702353e-07	0.11828616759210167	0.8264024660327414	0.1423116171227625	0.9465085637944316	0.13364257242635266	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5441532649708695	0.008361346333553413	0.20575660914364846	NA	NA	NA	NA	NA	NA	0.05016807800132048	0.20575660914364846	0.9443858778261036	6.878416578968022e-12	0.13754833082092782	NA	NA	NA	1.158748639072305e-10	0.13754833082092782	NA	NA
s__Erysipelatoclostridium_ramosum	0.03920290446578725	0.6879853363687154	0.09761907475413877	0.20661041611760245	0.26162535119440644	0.18405325601066894	0.1064074465977959	0.32567551191531896	0.10826288887197036	0.4947793146209217	2.264663228964097e-05	0.11664298857591032	0.8669414865744046	0.00013655613320601265	0.14866435471913278	0.4737733183354792	0.003839808741802701	0.1354950211396198	0.3574267983494632	6.842516785154906e-05	0.08976746818466766	0.18148256070751462;0.5333710359914119	0.008058198344285322	3.9816963269385375	0.0609238745869364	0.05272738719978553	0.0011290152695505595	0.7521375406789264	0.8359391721469338	0.09761907475413877	0.8331761184191098	0.18405325601066894	0.6683132900762274	0.10826288887197036	0.00023118437129008486	0.11664298857591032	0.018601996047385785	0.14866435471913278	0.12103927615450955	0.1354950211396198	1.2802787850064703	0.3208708729724821	1.2897327205262707	0.07364601758065906	0.6332575653457859	0.15390365330703484	NA	NA	NA	0.3988610946475495	0.05125599714932885	0.20405046969047425	0.510102413443433	1.2897327205262707	0.8407961962376781	0.15390365330703484	NA	NA	0.16818374064623529	0.20405046969047425	0.5664894634061058	2.141027045814669e-05	0.13305902059389704	NA	NA	NA	8.084222810920905e-05	0.13305902059389704	NA	NA
s__Clostridium_symbiosum	0.403863668615261	2.3997273954634583e-06	0.08562839195222005	0.1834781777808536	0.046987008455324115	0.0923663818171542	0.0861363571954274	0.4260143724239936	0.1082073729598334	0.2621476246972935	0.023252441831717995	0.11539068787926594	0.5875306891347405	0.009027002215071198	0.14517158016680232	0.32287072455128296	0.0476832584429252	0.13450112116648352	0.3478511117138774	1.4262334956161027e-05	0.08015402959884699	0.1907492137001373;0.5049530097276175	0.0064246684609328385	4.339783208090654	0.03389406343717191	0.045747714492688905	0.00032945993748731975	0.6590937344443061	7.74769130535345e-05	0.08562839195222005	0.4863155375126045	0.0923663818171542	0.7493288514957743	0.1082073729598334	0.06561437288878895	0.11539068787926594	0.17000854171717422	0.14517158016680232	0.3217233405362489	0.13450112116648352	0.8757321000891596	0.10185647546021737	0.5353149713797346	0.3524689534816034	0.02341433863877329	0.15504150961741078	-0.2606538127389143	0.3435417261048873	0.25310679643727885	0.5540776837851638	0.007286793385126876	0.2058917248587709	0.26683527374085114	0.5353149713797346	0.23804577616086184	0.15504150961741078	0.7980738560282767	0.25310679643727885	0.047819581589895126	0.2058917248587709	0.7528491865856273	2.582479056144273e-08	0.1350105657362722	NA	NA	NA	2.0946774566503546e-07	0.1350105657362722	NA	NA
s__Streptococcus_infantis	0.0105340357286608	0.8506119598172766	0.05593164611200722	0.2625043688807135	0.1993036018450256	0.20451621817590646	0.4268463271861953	9.531115428496052e-05	0.10938527493101496	0.7460612539807493	3.5271060089547916e-10	0.11882811438616316	0.14009175485251493	0.5301655493287327	0.14231165816239685	0.21295549904012687	0.1904181802624224	0.13401150434660336	0.343874043038528	0.000952886516410123	0.10407558161896636	0.1398859030653539;0.5478621830117021	0.010831726689326129	3.304079955060867	0.08707109085162786	0.05906407744247589	0.008152473529286608	0.872525038510638	0.9166954607820712	0.05593164611200722	0.8146191971379356	0.20451621817590646	0.0026823281991624603	0.10938527493101496	2.1603524304848097e-08	0.11882811438616316	0.8264024660327414	0.14231165816239685	0.5627773248905551	0.13401150434660336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6340655082193472	2.202653690519641e-06	0.1337061089184876	NA	NA	NA	1.0963208141450032e-05	0.1337061089184876	NA	NA
s__Lactobacillus_salivarius	0.016601756111559347	0.7666349148511298	0.05593971390862475	0.17048631763306035	0.2483593992818993	0.14769115824456813	NA	NA	NA	0.5207489895497109	8.491702186067735e-06	0.11682939455352145	NA	NA	NA	NA	NA	NA	0.3416125337018808	0.05091224312027243	0.17498681424006612	-0.0013616222086487717;0.6845866896124104	0.030620385157887405	1.9522187153668575	0.16291259046638634	0.16115386078529678	0.12000743021207072	0.9169162529187174	0.8733256980341868	0.05593971390862475	0.8146191971379356	0.14769115824456813	NA	NA	0.00011558150197703304	0.11682939455352145	NA	NA	NA	NA	NA	NA	NA	0.33000378693189897	0.033656216060405086	0.15489514518792435	-0.13571098454473413	0.6209263073440014	0.2523287858122565	NA	NA	NA	NA	NA	0.24907097060070785	0.15489514518792435	0.8724733181908984	0.2523287858122565	NA	NA	1.0776866125631002	1.1733714494444032e-14	0.1396175538083258	NA	NA	NA	2.855203860314715e-13	0.1396175538083258	NA	NA
s__Eggerthella_lenta	-0.09085703299378488	0.3471750229653061	0.09664789126381812	0.19116664738048428	0.03857926126802602	0.0924114573412748	0.08530765715143945	0.7948171047521115	0.32803004109980743	0.4383838067908917	0.0001658257250716703	0.11627012931409028	0.7537914486474104	0.0008641302108967225	0.147098507519627	0.5106351300975768	0.001862847074220785	0.13579360040879174	0.33841241135895134	2.9226432838980188e-05	0.0809713054469739	0.1797086526828825;0.4971161700350202	0.006556352305787144	4.179411576617957	0.05384209168630456	0.0413691327503628	0.0005626088321503686	0.7178304166568578	0.587256577200058	0.09664789126381812	0.4863155375126045	0.0924114573412748	0.9511019143283788	0.32803004109980743	0.0012696032075799758	0.11627012931409028	0.027899061094665608	0.147098507519627	0.10478514792491916	0.13579360040879174	0.6736155223804446	0.3739981730753823	0.7577149656453311	0.2814045111306895	0.06956801625674561	0.15461108834247084	0.7073299579155283	0.01203443929576562	0.2598005063155281	0.4599030772431825	0.025066988357194068	0.20470491374565067	0.5609972596130735	0.7577149656453311	0.3350249203943275	0.15461108834247084	0.3163767692895551	0.2598005063155281	0.10123206836559144	0.20470491374565067	0.18068945399704264	0.16770655963435818	0.13073392145412413	NA	NA	NA	0.2110789457466922	0.13073392145412413	NA	NA
